"","Date","price"
"1",2015-01-01,36.1574665208333
"2",2015-01-02,35.8555399965278
"3",2015-01-03,35.0882105694444
"4",2015-01-04,37.7950654895833
"5",2015-01-05,51.5454835173611
"6",2015-01-06,29.0003388819444
"7",2015-01-07,28.6819163680556
"8",2015-01-08,35.0928230625
"9",2015-01-09,35.3289227291667
"10",2015-01-10,32.4589527118056
"11",2015-01-11,32.3933051597222
"12",2015-01-12,34.3602545104167
"13",2015-01-13,36.8204674722222
"14",2015-01-14,31.3259098541667
"15",2015-01-15,30.4782424409722
"16",2015-01-16,19.1860852743056
"17",2015-01-17,26.2810257708333
"18",2015-01-18,25.7075615694444
"19",2015-01-19,44.1596301805556
"20",2015-01-20,53.27426665625
"21",2015-01-21,30.4552736631944
"22",2015-01-22,31.4071161145833
"23",2015-01-23,38.8986102708333
"24",2015-01-24,44.4098422638889
"25",2015-01-25,41.2600853958333
"26",2015-01-26,49.86964265625
"27",2015-01-27,27.2354952291667
"28",2015-01-28,31.1530428819444
"29",2015-01-29,29.9308939236111
"30",2015-01-30,26.3589546319444
"31",2015-01-31,23.7974239895833
"32",2015-02-01,30.4046363645833
"33",2015-02-02,29.7323175763889
"34",2015-02-03,24.5031602673611
"35",2015-02-04,25.2396229027778
"36",2015-02-05,22.6063696979167
"37",2015-02-06,24.7809072118056
"38",2015-02-07,24.8720734097222
"39",2015-02-08,15.6040666666667
"40",2015-02-09,7.87716870486111
"41",2015-02-10,13.1613054583333
"42",2015-02-11,25.4324077881944
"43",2015-02-12,39.8242508854167
"44",2015-02-13,28.1753342083333
"45",2015-02-14,19.0085682083333
"46",2015-02-15,20.2179382951389
"47",2015-02-16,20.26600015625
"48",2015-02-17,25.06245425
"49",2015-02-18,34.4621402083333
"50",2015-02-19,29.9048051840278
"51",2015-02-20,75.8772542048611
"52",2015-02-21,37.9999756493056
"53",2015-02-22,33.9471250208333
"54",2015-02-23,30.9404813649123
"55",2015-02-24,22.5749417256944
"56",2015-02-25,17.3905742708333
"57",2015-02-26,20.7148223611111
"58",2015-02-27,40.9579920868056
"59",2015-02-28,36.8127473538462
"60",2015-03-01,68.6026784260563
"61",2015-03-02,43.7002749340278
"62",2015-03-03,20.1628961458333
"63",2015-03-04,24.2426252361111
"64",2015-03-05,25.3784241811847
"65",2015-03-06,25.0709416701389
"66",2015-03-07,25.9944999513889
"67",2015-03-08,14.4570411628788
"68",2015-03-09,25.2934580694444
"69",2015-03-10,27.4069067073171
"70",2015-03-11,45.5142067342657
"71",2015-03-12,31.6898834027778
"72",2015-03-13,56.2658376631944
"73",2015-03-14,38.8938470625
"74",2015-03-15,36.0932316284722
"75",2015-03-16,32.6134767881944
"76",2015-03-17,22.3671792526316
"77",2015-03-18,19.5310529027778
"78",2015-03-19,25.195742702509
"79",2015-03-20,25.7382763215548
"80",2015-03-21,18.7356166805556
"81",2015-03-22,-0.463133982638889
"82",2015-03-23,18.6073036145833
"83",2015-03-24,17.1037994895833
"84",2015-03-25,30.1685422797203
"85",2015-03-26,45.74018884375
"86",2015-03-27,24.8571438819444
"87",2015-03-28,15.2742376944444
"88",2015-03-29,25.3144993066202
"89",2015-03-30,25.3293727777778
"90",2015-03-31,32.5845056215278
"91",2015-04-01,26.7920247256944
"92",2015-04-02,15.1776247291667
"93",2015-04-03,22.4767449826389
"94",2015-04-04,21.1071093298611
"95",2015-04-05,0.782030958333334
"96",2015-04-06,43.5086007686833
"97",2015-04-07,25.9562723541667
"98",2015-04-08,17.4475418531469
"99",2015-04-09,30.9962151701389
"100",2015-04-10,34.4007422657343
"101",2015-04-11,10.4784106736111
"102",2015-04-12,27.5215911111111
"103",2015-04-13,49.4643692916667
"104",2015-04-14,26.1173345352113
"105",2015-04-15,32.4655077951389
"106",2015-04-16,28.6857933402778
"107",2015-04-17,22.9149797659574
"108",2015-04-18,19.83028815625
"109",2015-04-19,24.9566367083333
"110",2015-04-20,39.5680906503497
"111",2015-04-21,25.7534076126761
"112",2015-04-22,25.6512839758454
"113",2015-04-23,48.7040362116788
"114",2015-04-24,26.9838343021583
"115",2015-04-25,23.4128761510791
"116",2015-04-26,18.1905518345324
"117",2015-04-27,38.4350373021583
"118",2015-04-28,42.5223679823944
"119",2015-04-29,31.2578996770833
"120",2015-04-30,49.7200413506944
"121",2015-05-01,33.0686735470383
"122",2015-05-02,23.2815844097222
"123",2015-05-03,-1.30107675
"124",2015-05-04,26.1854031347518
"125",2015-05-05,8.9876924912892
"126",2015-05-06,17.1345611944444
"127",2015-05-07,47.5095145555556
"128",2015-05-08,32.8693083194444
"129",2015-05-09,-3.54514883333333
"130",2015-05-10,23.3779765972222
"131",2015-05-11,32.0663806354167
"132",2015-05-12,22.55093209375
"133",2015-05-13,38.0117211979167
"134",2015-05-14,55.4578212852113
"135",2015-05-15,17.5631410734266
"136",2015-05-16,31.0953332256944
