Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
1,8,8,38.367572,7.231708,29.768958
1,8,9,41.616916,10.098381,37.451168
1,8,10,42.416696,38.174908,39.84322
1,8,11,42.376548,37.534028,40.045452
1,8,12,42.249348,37.290076,39.885232
1,8,13,41.704768,37.063288,39.263504
1,8,14,40.298576,36.599536,37.4794
1,8,15,15.950034,19.179414,32.64108
1,8,16,14.932587,20.56396,16.0668
1,8,17,0,0,0
1,8,18,0,0,0
1,8,19,0,0,0
1,8,20,0,0,0
1,8,21,0,0,0
1,8,22,0,0,0
1,8,23,0,0,0
1,9,0,0,0,0
1,9,1,0,0,0
1,9,2,0,0,0
1,9,3,0,0,0
1,9,4,0,0,0
1,9,5,0,0,0
1,9,6,0,0,0
1,9,7,23.302268,0,8.959023
1,9,8,37.486172,0.161529328,29.493872
1,9,9,40.23912,1.461775625,35.480332
1,9,10,40.494312,3.75023175,36.283928
1,9,11,39.811264,25.502936,35.50088
1,9,12,39.579312,24.545294,35.290432
1,9,13,39.44668,25.49019,35.324696
1,9,14,37.46776,21.286186,35.070684
1,9,15,33.816072,19.639872,31.387256
1,9,16,16.027735,4.395967,16.404522
1,9,17,0,0,0
1,9,18,0,0,0
1,9,19,0,0,0
1,9,20,0,0,0
1,9,21,0,0,0
1,9,22,0,0,0
1,9,23,0,0,0
1,10,0,0,0,0
1,10,1,0,0,0
1,10,2,0,0,0
1,10,3,0,0,0
1,10,4,0,0,0
1,10,5,0,0,0
1,10,6,0,0,0
1,10,7,10.666697,0,9.302056
1,10,8,7.447333,2.361124,10.874189
1,10,9,26.94147,11.68784,21.398716
1,10,10,30.202234,6.790557,36.641676
1,10,11,28.224586,23.351828,37.773588
1,10,12,25.114154,25.106392,38.606424
1,10,13,17.361756,25.787926,38.443628
1,10,14,6.7019335,26.871638,37.137736
1,10,15,14.848014,22.46063,31.904022
1,10,16,4.997888,7.9507775,9.174465
1,10,17,0,0,0
1,10,18,0,0,0
1,10,19,0,0,0
1,10,20,0,0,0
1,10,21,0,0,0
1,10,22,0,0,0
1,10,23,0,0,0
1,11,0,0,0,0
1,11,1,0,0,0
1,11,2,0,0,0
1,11,3,0,0,0
1,11,4,0,0,0
1,11,5,0,0,0
1,11,6,0,0,0
1,11,7,18.994964,0,0.357663531
1,11,8,15.869203,9.466132,4.4642275
1,11,9,36.335616,15.308527,26.11138
1,11,10,37.594756,27.863378,25.21134
1,11,11,29.520208,23.91438,27.26658
1,11,12,29.413092,27.205306,22.990082
1,11,13,28.830414,22.256494,25.978666
1,11,14,37.04638,28.964028,25.987596
1,11,15,22.062234,18.012962,30.314038
